race_name,race_class,name,nationality,rider_id,final_position,total_time,total_points,pro_points,queen_points,power_points,team.teamClass,team.teamClassId,team.teamId,team.teamName,stage_1_time,stage_1_stage_result,stage_1_cumulative_result,stage_1_cumulative_behind,stage_1_overall_time,stage_2_time,stage_2_stage_result,stage_2_cumulative_result,stage_2_cumulative_behind,stage_2_overall_time,stage_3_time,stage_3_stage_result,stage_3_cumulative_result,stage_3_cumulative_behind,stage_3_overall_time,stage_4_time,stage_4_stage_result,stage_4_cumulative_result,stage_4_cumulative_behind,stage_4_overall_time,stage_5_time,stage_5_stage_result,stage_5_cumulative_result,stage_5_cumulative_behind,stage_5_overall_time,stage_6_time,stage_6_stage_result,stage_6_cumulative_result,stage_6_cumulative_behind,stage_6_overall_time,stage_0_time,stage_0_stage_result,stage_0_cumulative_result,stage_0_cumulative_behind,stage_0_overall_time
EWS Val Di Fassa,WOMEN | Under 21,BOUCHER Lily,CAN,40222,3,+00:00:46:46.150,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:04:47.260,4,4,+00:00:00:11.040,+00:00:04:47.260,+00:00:10:20.710,3,3,+00:00:00:54.990,+00:00:15:07.970,+00:00:09:23.150,3,3,+00:00:01:23.560,+00:00:24:31.120,+00:00:04:44.230,3,3,+00:00:01:42.220,+00:00:29:15.350,+00:00:17:30.800,4,3,+00:00:03:36.490,+00:00:46:46.150,,,,,,,,,,
EWS Val Di Fassa,WOMEN | Under 21,MUIRHEAD Kalani,NZL,40226,4,+00:00:47:38.800,35,5,5,N/A,N/A,N/A,N/A,N/A,+00:00:04:45.540,3,3,+00:00:00:09.320,+00:00:04:45.540,+00:00:10:52.150,4,4,+00:00:01:24.710,+00:00:15:37.690,+00:00:09:32.920,4,4,+00:00:02:03.050,+00:00:25:10.610,+00:00:04:59.580,4,4,+00:00:02:37.060,+00:00:30:10.190,+00:00:17:28.610,3,4,+00:00:04:29.140,+00:00:47:38.800,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,WUENSCHER Anton Lauritz,GER,33245,1,+00:00:26:01.490,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:00.050,2,2,+00:00:00:06.440,+00:00:08:00.050,+00:00:04:02.650,2,2,+00:00:00:08.590,+00:00:12:02.700,+00:00:13:58.790,1,1,+00:00:00:00.000,+00:00:26:01.490,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,ROLLASON Harvey,GBR,25825,2,+00:00:26:10.180,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:07:53.610,1,1,+00:00:00:00.000,+00:00:07:53.610,+00:00:04:00.500,1,1,+00:00:00:00.000,+00:00:11:54.110,+00:00:14:16.070,3,2,+00:00:00:08.690,+00:00:26:10.180,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,SCHUEZ Tim,GER,33909,3,+00:00:26:38.220,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:14.550,9,9,+00:00:00:20.940,+00:00:08:14.550,+00:00:04:10.670,6,7,+00:00:00:31.110,+00:00:12:25.220,+00:00:14:13.000,2,3,+00:00:00:36.730,+00:00:26:38.220,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,WERRES Florian,GER,36669,4,+00:00:26:40.630,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:04.650,3,3,+00:00:00:11.040,+00:00:08:04.650,+00:00:04:18.100,30,5,+00:00:00:28.640,+00:00:12:22.750,+00:00:14:17.880,4,4,+00:00:00:39.140,+00:00:26:40.630,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,ORSENIGO Marco,ITA,37352,5,+00:00:26:50.230,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:06.680,5,5,+00:00:00:13.070,+00:00:08:06.680,+00:00:04:11.480,8,4,+00:00:00:24.050,+00:00:12:18.160,+00:00:14:32.070,11,5,+00:00:00:48.740,+00:00:26:50.230,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,ACERBI Tommaso,ITA,33592,6,+00:00:26:51.510,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:04.700,4,4,+00:00:00:11.090,+00:00:08:04.700,+00:00:04:08.640,4,3,+00:00:00:19.230,+00:00:12:13.340,+00:00:14:38.170,18,6,+00:00:00:50.020,+00:00:26:51.510,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,TORTORA Daniel,ITA,36374,7,+00:00:26:52.210,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:13.330,8,8,+00:00:00:19.720,+00:00:08:13.330,+00:00:04:11.580,9,6,+00:00:00:30.800,+00:00:12:24.910,+00:00:14:27.300,6,7,+00:00:00:50.720,+00:00:26:52.210,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,CHRIST Jan,GER,25376,8,+00:00:26:59.090,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:20.100,14,14,+00:00:00:26.490,+00:00:08:20.100,+00:00:04:19.150,37,19,+00:00:00:45.140,+00:00:12:39.250,+00:00:14:19.840,5,8,+00:00:00:57.600,+00:00:26:59.090,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,GRUBER Leo,FRA,50790,9,+00:00:27:01.080,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:12.240,6,6,+00:00:00:18.630,+00:00:08:12.240,+00:00:04:18.840,35,12,+00:00:00:36.970,+00:00:12:31.080,+00:00:14:30.000,9,9,+00:00:00:59.590,+00:00:27:01.080,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,MCRITCHIE Ruairidh,GBR,22333,10,+00:00:27:05.460,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:18.030,12,12,+00:00:00:24.420,+00:00:08:18.030,+00:00:04:12.630,13,11,+00:00:00:36.550,+00:00:12:30.660,+00:00:14:34.800,15,10,+00:00:01:03.970,+00:00:27:05.460,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,WALKER Nicolas,SUI,34005,11,+00:00:27:09.630,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:12.850,7,7,+00:00:00:19.240,+00:00:08:12.850,+00:00:04:16.470,25,9,+00:00:00:35.210,+00:00:12:29.320,+00:00:14:40.310,20,11,+00:00:01:08.140,+00:00:27:09.630,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,ANDERSEN Mads,DEN,34154,12,+00:00:27:11.710,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:20.830,16,16,+00:00:00:27.220,+00:00:08:20.830,+00:00:04:23.010,52,25,+00:00:00:49.730,+00:00:12:43.840,+00:00:14:27.870,7,12,+00:00:01:10.220,+00:00:27:11.710,,,,,,,,,,
EWS Val Di Fassa,EWS100 | MEN,MOURONVAL Mathias,FRA,22880,13,+00:00:27:12.080,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,+00:00:08:23.030,18,18,+00:00:00:29.420,+00:00:08:23.030,+00:00:04:11.980,11,14,+00:00:00:40.900,+00:00:12:35.010,+00:00:14:37.070,16,13,+00:00:01:10.590,+00:00:27:12.080,,,,,,,,,,
